200069361  0  0  38  38
200069673  0  299  17  17
200069673  315  328  17  17
200069673  328  328  0  2
200070438  33  784  410  410
200070438  794  794  408  410
200070438  0  0  13  14
200070438  30  32  0  0
200070874  0  4  283  283
200070874  4  4  189  193
200070874  104  104  294  295
200070874  344  354  133  133
200070874  354  354  279  280
200070874  453  454  88  88
200070874  594  594  0  63
200071158  0  99  15  15
200071158  297  297  0  0
222865889  0  0  21  29
222865889  2  12  0  52
222865889  13  15  21  31
